ticker,name,launchdate,group,subgroup,style,maturity,duration,assetclass
BND,Vanguard Total Bond Market ETF,4/10/2007,Debt Fund,Government/Corporate,,9.317368452,6.45676513,Debt
AGG,iShares Core U.S. Aggregate Bond ETF,9/26/2003,Debt Fund,Government/Corporate,,8.992402489,6.256097385,Debt
TLT,iShares 20+ Year Treasury Bond ETF,7/26/2002,Debt Fund,Government/Agency-LT,,26.09700634,17.16351977,Debt
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,11/23/2009,Debt Fund,Corporate/Preferred,,7.39993474,6.121704011,Debt
VCSH,Vanguard Short-Term Corporate Bond ETF,11/23/2009,Debt Fund,Corporate/Preferred,,2.858215381,2.569087626,Debt
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,5/30/2007,Debt Fund,Govt/Agency-Short Term,,0.097033979,0.093004709,Debt
BSV,Vanguard Short-Term Bond ETF,4/10/2007,Debt Fund,Govt/Corp Short Term,,2.841809608,2.597527713,Debt
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,7/26/2002,Debt Fund,Corp/Pref-Inv Grade,,13.81086878,8.610471499,Debt
IEF,iShares 7-10 Year Treasury Bond ETF,7/26/2002,Debt Fund,Govt/Agency-Inter Term,,8.443509273,7.372520838,Debt
SHY,iShares 1-3 Year Treasury Bond ETF,7/26/2002,Debt Fund,Govt/Agency-Short Term,,1.956955172,1.831927077,Debt
GOVT,iShares U.S. Treasury Bond ETF,2/16/2012,Debt Fund,Government/Agency,,8.607518424,6.14022181,Debt
VGSH,Vanguard Short-Term Treasury ETF,11/23/2009,Debt Fund,Govt/Agency-Short Term,,1.958428169,1.831229711,Debt
VGIT,Vanguard Intermediate-Term Treasury ETF,11/23/2009,Debt Fund,Govt/Agency-Inter Term,,5.649489193,5.023209956,Debt
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,1/11/2007,Debt Fund,Govt/Corp Short Term,,2.941271678,2.618746335,Debt
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,4/11/2007,Debt Fund,Corp/Pref-High Yield,,4.658585101,3.67556947,Debt
SHV,iShares Short Treasury Bond ETF,1/11/2007,Debt Fund,Govt/Agency-Short Term,,0.269452763,0.25609057,Debt
TIP,iShares TIPS Bond ETF,12/5/2003,Debt Fund,Government/Agency,,7.766649952,6.716482128,Debt
USFR,WisdomTree Floating Rate Treasury Fund,2/4/2014,Debt Fund,Government/Agency,,1.482767364,1.365836327,Debt
BIV,Vanguard Intermediate-Term Bond ETF,4/10/2007,Debt Fund,Govt/Corp Intermediate,,7.28308481,6.215876201,Debt
PFF,iShares Preferred and Income Securities ETF,3/30/2007,Debt Fund,Corporate/Preferred,,,,Debt
IEI,iShares 3-7 Year Treasury Bond ETF,1/11/2007,Debt Fund,Govt/Agency-Inter Term,,4.839958765,4.375369549,Debt
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,10/16/2012,Debt Fund,Govt/Agency-Short Term,,2.461989085,2.355330885,Debt
IGIB,iShares 5-10 Year Investment Grade Corporate Bond ETF,1/11/2007,Debt Fund,Corp/Pref-Inv Grade,,7.431257305,6.132573608,Debt
SCHO,Schwab Short-Term U.S. Treasury ETF,8/5/2010,Debt Fund,Govt/Agency-Short Term,,1.954342007,1.832508683,Debt
SCHP,Schwab US TIPS ETF,8/5/2010,Debt Fund,Government/Agency,,7.764484973,6.709469195,Debt
VGLT,Vanguard Long-Term Treasury ETF,11/23/2009,Debt Fund,Government/Agency-LT,,23.20035779,15.5676815,Debt
TFLO,iShares Treasury Floating Rate Bond ETF,2/4/2014,Debt Fund,Unclassified,,0.952887511,0.881429447,Debt
