Date,SPX.open,SPX.high,SPX.low,SPX.close,SPX.volume,SPX.total_ret_index_gross_dvd,SPX.total_ret_index_net_dvd
1970-06-12,74.21,74.21,74.21,74.21,,75.3728,74.21
1970-06-15,74.38,74.38,74.38,74.38,,75.5455,74.38
1970-06-16,76.15,76.15,76.15,76.15,,77.3432,76.15
1970-06-17,76.0,76.0,76.0,76.0,,77.1909,76.0
1970-06-18,76.51,76.51,76.51,76.51,,77.7089,76.51
1970-06-19,77.05,77.05,77.05,77.05,,78.2573,77.05
1970-06-22,76.64,76.64,76.64,76.64,,77.8409,76.64
1970-06-23,74.76,74.76,74.76,74.76,,75.9315,74.76
1970-06-24,73.97,73.97,73.97,73.97,,75.1291,73.97
1970-06-25,74.02,74.02,74.02,74.02,,75.1799,74.02
1970-06-26,73.47,73.47,73.47,73.47,,74.6213,73.47
1970-06-29,72.89,72.89,72.89,72.89,,74.0322,72.89
1970-06-30,72.72,72.72,72.72,72.72,,74.1236,72.72
1970-07-01,73.04,73.04,73.04,73.04,,74.4498,73.04
1970-07-02,72.92,72.92,72.92,72.92,,74.3274,72.92
1970-07-06,71.78,71.78,71.78,71.78,,73.1654,71.78
1970-07-07,71.23,71.23,71.23,71.23,,72.6048,71.23
1970-07-08,73.0,73.0,73.0,73.0,,74.409,73.0
1970-07-09,74.06,74.06,74.06,74.06,,75.4894,74.06
1970-07-10,74.57,74.57,74.57,74.57,,76.0093,74.57
1970-07-13,74.48,74.48,74.48,74.48,,75.9175,74.48
1970-07-14,74.42,74.42,74.42,74.42,,75.8564,74.42
