,Symbol,Name,LaunchDate,Group,Subgroup,Style,Maturity,Duration
0,BND,Vanguard Total Bond Market ETF,4/10/2007,Debt Fund,Government/Corporate,,9.317368452,6.45676513
1,AGG,iShares Core U.S. Aggregate Bond ETF,9/26/2003,Debt Fund,Government/Corporate,,8.992402489,6.256097385
2,TLT,iShares 20+ Year Treasury Bond ETF,7/26/2002,Debt Fund,Government/Agency-LT,,26.09700634,17.16351977
3,VCIT,Vanguard Intermediate-Term Corporate Bond ETF,11/23/2009,Debt Fund,Corporate/Preferred,,7.39993474,6.121704011
4,VCSH,Vanguard Short-Term Corporate Bond ETF,11/23/2009,Debt Fund,Corporate/Preferred,,2.858215381,2.569087626
5,BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,5/30/2007,Debt Fund,Govt/Agency-Short Term,,0.097033979,0.093004709
6,BSV,Vanguard Short-Term Bond ETF,4/10/2007,Debt Fund,Govt/Corp Short Term,,2.841809608,2.597527713
7,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,7/26/2002,Debt Fund,Corp/Pref-Inv Grade,,13.81086878,8.610471499
8,IEF,iShares 7-10 Year Treasury Bond ETF,7/26/2002,Debt Fund,Govt/Agency-Inter Term,,8.443509273,7.372520838
9,SHY,iShares 1-3 Year Treasury Bond ETF,7/26/2002,Debt Fund,Govt/Agency-Short Term,,1.956955172,1.831927077
10,GOVT,iShares U.S. Treasury Bond ETF,2/16/2012,Debt Fund,Government/Agency,,8.607518424,6.14022181
11,VGSH,Vanguard Short-Term Treasury ETF,11/23/2009,Debt Fund,Govt/Agency-Short Term,,1.958428169,1.831229711
12,VGIT,Vanguard Intermediate-Term Treasury ETF,11/23/2009,Debt Fund,Govt/Agency-Inter Term,,5.649489193,5.023209956
13,IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,1/11/2007,Debt Fund,Govt/Corp Short Term,,2.941271678,2.618746335
14,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,4/11/2007,Debt Fund,Corp/Pref-High Yield,,4.658585101,3.67556947
15,SHV,iShares Short Treasury Bond ETF,1/11/2007,Debt Fund,Govt/Agency-Short Term,,0.269452763,0.25609057
16,TIP,iShares TIPS Bond ETF,12/5/2003,Debt Fund,Government/Agency,,7.766649952,6.716482128
17,USFR,WisdomTree Floating Rate Treasury Fund,2/4/2014,Debt Fund,Government/Agency,,1.482767364,1.365836327
18,BIV,Vanguard Intermediate-Term Bond ETF,4/10/2007,Debt Fund,Govt/Corp Intermediate,,7.28308481,6.215876201
19,PFF,iShares Preferred and Income Securities ETF,3/30/2007,Debt Fund,Corporate/Preferred,,#N/A N/A,#N/A N/A
20,IEI,iShares 3-7 Year Treasury Bond ETF,1/11/2007,Debt Fund,Govt/Agency-Inter Term,,4.839958765,4.375369549
21,VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,10/16/2012,Debt Fund,Govt/Agency-Short Term,,2.461989085,2.355330885
22,IGIB,iShares 5-10 Year Investment Grade Corporate Bond ETF,1/11/2007,Debt Fund,Corp/Pref-Inv Grade,,7.431257305,6.132573608
23,SCHO,Schwab Short-Term U.S. Treasury ETF,8/5/2010,Debt Fund,Govt/Agency-Short Term,,1.954342007,1.832508683
24,SCHP,Schwab US TIPS ETF,8/5/2010,Debt Fund,Government/Agency,,7.764484973,6.709469195
25,VGLT,Vanguard Long-Term Treasury ETF,11/23/2009,Debt Fund,Government/Agency-LT,,23.20035779,15.5676815
26,TFLO,iShares Treasury Floating Rate Bond ETF,2/4/2014,Debt Fund,Unclassified,,0.952887511,0.881429447
27,SPTL,SPDR Portfolio Long Term Treasury ETF,5/23/2007,Debt Fund,Government/Agency-LT,,23.17620337,15.54856837
28,JNK,SPDR Bloomberg High Yield Bond ETF,12/4/2007,Debt Fund,Corp/Pref-High Yield,,4.587258751,3.672951876
29,SCHR,Schwab Intermediate-Term U.S. Treasury ETF,8/5/2010,Debt Fund,Govt/Agency-Inter Term,,5.626096999,4.998596626
30,TLH,iShares 10-20 Year Treasury Bond ETF,1/11/2007,Debt Fund,Government/Agency-LT,,17.53182797,13.19052737
31,SPAB,SPDR Portfolio Aggregate Bond ETF,5/23/2007,Debt Fund,Government/Corporate,,8.976875192,6.260060916
32,SCHZ,Schwab U.S. Aggregate Bond ETF,7/14/2011,Debt Fund,Government/Corporate,,8.760786155,6.103590235
33,FLOT,iShares Floating Rate Bond ETF,6/17/2011,Debt Fund,Govt/Corp Short Term,,1.738550086,1.544739144
34,SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,2/11/2009,Debt Fund,Govt/Corp Intermediate,,4.808855855,4.116254902
35,SPSB,SPDR Portfolio Short Term Corporate Bond ETF,12/17/2009,Debt Fund,Corporate/Preferred,,1.942642676,1.804814772
36,VCLT,Vanguard Long-Term Corporate Bond ETF,11/23/2009,Debt Fund,Corporate/Preferred,,23.37653953,13.05755478
37,SPTS,SPDR Portfolio Short Term Treasury ETF,12/1/2011,Debt Fund,Govt/Agency-Short Term,,1.964268658,1.836265705
38,SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,10/17/2013,Debt Fund,Govt/Corp High Yield,,2.943261612,2.499003037
39,TMF,Direxion Daily 20 Year Plus Treasury Bull 3x Shares,4/16/2009,Debt Fund,Government/Agency-LT,,#N/A N/A,#N/A N/A
40,SPTI,SPDR Portfolio Intermediate Term Treasury ETF,5/23/2007,Debt Fund,Govt/Agency-Inter Term,,5.706229726,5.023477259
41,PGX,Invesco Preferred ETF,1/31/2008,Debt Fund,Corporate/Preferred,,6.41001738,0.001394583
42,SJNK,SPDR Bloomberg Short Term High Yield Bond ETF,3/15/2012,Debt Fund,Corp/Pref-High Yield,,2.98880101,2.502113058
43,BSCO,Invesco BulletShares 2024 Corporate Bond ETF,9/17/2014,Debt Fund,Unclassified,,0.526868558,0.498789289
44,HYLB,Xtrackers USD High Yield Corporate Bond ETF,12/7/2016,Debt Fund,Unclassified,,4.405922904,3.542890182
45,SPHY,SPDR Portfolio High Yield Bond ETF,6/19/2012,Debt Fund,Corporate/Preferred,,4.643434324,3.6136608
46,ANGL,VanEck Fallen Angel High Yield Bond ETF,4/11/2012,Debt Fund,Corp/Pref-High Yield,,8.11591892,5.241352914
47,IGLB,iShares 10+ Year Investment Grade Corporate Bond ETF,12/9/2009,Debt Fund,Corp/Pref-Inv Grade,,23.02763315,12.86986602
48,TBT,ProShares UltraShort 20+ Year Treasury,5/1/2008,Debt Fund,Government/Agency-LT,,#N/A N/A,#N/A N/A
49,TMV,Direxion Daily 20 Year Plus Treasury Bear 3x Shares,4/16/2009,Debt Fund,Government/Agency-LT,,#N/A N/A,#N/A N/A
50,SPY,SPDR S&P 500 ETF Trust,1/22/1993,Equity Fund,Growth&Income-Large Cap,Large,,
51,DIA,SPDR Dow Jones Industrial Average ETF Trust,1/20/1998,Equity Fund,Growth&Income-Large Cap,Large,,
52,SPLG,SPDR Portfolio S&P 500 ETF,11/15/2005,Equity Fund,Growth&Income-Large Cap,Large,,
53,SPYG,SPDR Portfolio S&P 500 Growth ETF,9/29/2000,Equity Fund,Growth-Large Cap,Large,,
54,SPYV,SPDR Portfolio S&P 500 Value ETF,9/29/2000,Equity Fund,Value-Large Cap,Large,,
55,SPSM,SPDR Portfolio S&P 600 Small Cap ETF,7/9/2013,Equity Fund,Growth&Income-Small Cap,Small,,
56,XBI,SPDR S&P Biotech ETF,2/6/2006,Equity Fund,Health & Biotechnology,Small,,
57,SPYD,SPDR Portfolio S&P 500 High Dividend ETF,10/22/2015,Equity Fund,Unclassified,Small,,
58,KRE,SPDR S&P Regional Banking ETF,6/22/2006,Equity Fund,Financial Services,Small,,
59,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,6/22/2006,Equity Fund,Sector Fund-Energy,Small,,
60,XME,SPDR S&P Metals & Mining ETF,6/22/2006,Equity Fund,Precious Metals,Small,,
61,KBE,SPDR S&P Bank ETF,11/15/2005,Equity Fund,Financial Services,Small,,
62,XHB,SPDR S&P Homebuilders ETF,2/6/2006,Equity Fund,Sector Fund-Real Estate,Multi-Cap,,
63,KIE,SPDR S&P Insurance ETF,11/15/2005,Equity Fund,Financial Services,Small,,
64,XRT,SPDR S&P Retail ETF,6/22/2006,Equity Fund,Undefined Equity,Small,,
65,GLD,SPDR Gold Shares,11/18/2004,Commodity Fund,Commodity,,,
66,IAU,iShares Gold Trust,1/28/2005,Commodity Fund,Commodity,,,
67,SLV,iShares Silver Trust,4/28/2006,Commodity Fund,Commodity,,,
68,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,11/7/2014,Commodity Fund,Unclassified,,,
69,SGOL,abrdn Physical Gold Shares ETF,9/9/2009,Commodity Fund,Commodity,,,
70,FTGC,First Trust Global Tactical Commodity Strategy Fund,10/23/2013,Commodity Fund,Unclassified,,,
